id,hashtag,postCount,recentPostCount1h,recentPostCount6h,recentPostCount24h,trendScore,createdAt,updatedAt
068eb898-1b02-4c36-9252-65624d5050b0,newnigeria,2,0,0,0,0,2026-04-28 02:30:00.150595,2026-05-12 11:30:00.227
6bf9389a-b8be-4a40-bfc3-0fc5230cb210,kinds,1,0,0,0,0,2026-04-06 08:00:00.138434,2026-04-08 09:00:00.386
ce17dc43-e43c-4160-90c5-a94abb319467,esty,1,0,0,0,0,2026-05-12 10:00:00.638383,2026-05-12 21:30:00.69
a2cbe11a-0220-4d61-8e52-0c111633f34f,leadership,1,0,0,0,0,2026-04-28 02:30:00.177754,2026-05-12 07:30:00.302
f782d94b-1403-4919-8002-2b0d6c3d9e4e,perezjay,1,0,0,0,0,2026-05-12 10:00:00.64564,2026-05-12 21:30:00.706
44de73e4-5972-497e-85f6-977e479dc932,ai,1,0,0,0,0,2026-05-03 14:00:00.583797,2026-05-10 13:30:00.39
5c979aaf-6a16-4c01-b0ee-f4711bb39b13,business,1,0,0,0,0,2026-05-03 14:00:00.61164,2026-05-10 13:30:00.395
3d63b4e7-c2ee-403b-8e94-fe05d54678cd,davos2026,1,0,0,0,0,2026-05-03 14:00:00.614647,2026-05-10 13:30:00.399
1a2397b0-ee95-4f12-a988-b26a0d30623b,tagmi,23,0,0,0,0,2026-04-06 09:00:00.198667,2026-05-12 21:30:00.276
c4fb300d-144e-4000-8331-33a4a719fdbe,sidra_adviser,1,0,0,0,0,2026-04-29 19:30:00.335732,2026-05-06 19:00:00.425
d3f8afeb-44fd-487d-b5c4-4d50dd67da7f,music,1,0,0,0,0,2026-04-21 17:00:00.738268,2026-04-28 12:30:00.256
a862cb58-52a5-4e82-8b10-87b8e2eeb34d,nigeria,1,0,0,0,0,2026-04-21 17:00:00.742623,2026-04-28 12:30:00.261
f7e35bb0-fb65-4514-bad4-0b665706dd70,fashion,26,0,0,0,0,2026-04-08 16:00:00.093641,2026-05-12 21:30:00.423
f4b55e60-b9e4-4101-8e49-26c4e3aafbdf,longterminvesting,2,0,0,0,0,2026-04-12 18:30:00.077776,2026-05-12 21:30:00.6
8a6f4d73-442a-448b-b2a4-f39d131a5f42,enjoy,5,0,0,0,0,2026-04-06 16:00:00.340654,2026-04-08 09:00:00.276
839ca7b7-6878-4c93-b8ce-c00050eb0606,financialliteracy,1,0,0,0,0,2026-04-12 18:30:00.064662,2026-05-12 21:30:00.66
c72937be-7507-40bf-9470-ba80653126d9,nwere,1,0,0,0,0,2026-04-06 15:30:00.26412,2026-04-22 13:30:00.305
6f03b8af-8c1a-4d38-8edc-3dbe14fe2596,investmentmindset,2,0,0,0,0,2026-04-12 18:30:00.048696,2026-05-12 21:30:00.677
c2d55294-bc73-4022-9d8b-138c2ce46e0c,affordable,6,0,0,0,0,2026-04-06 08:00:00.074752,2026-04-08 09:00:00.285
43f2816c-d888-4d04-8048-747ec99ed37f,watchingtagmi,2,0,0,0,0,2026-04-06 15:30:00.31519,2026-04-08 09:00:00.288
8e25226b-8640-419c-ad62-6cc0b031841f,wealthbuilding,1,0,0,0,0,2026-04-12 18:30:00.073665,2026-05-12 21:30:00.68
91cdb556-a6bd-4aad-bf3a-9aa2a67eae34,order,6,0,0,0,0,2026-04-06 08:00:00.087519,2026-04-08 09:00:00.291
579b63c1-b9d5-4cb1-854f-75d372e0c8cd,greatest,1,0,0,0,0,2026-04-06 20:30:00.370634,2026-04-22 13:30:00.311
32673f02-1621-473c-8862-34755a228771,fibroidawareness,2,0,0,0,0,2026-04-07 23:30:00.031632,2026-04-08 09:00:00.294
79c22ae8-d54f-4b2b-bbaa-171881dab15b,banks,1,0,0,0,0,2026-04-06 23:00:00.061204,2026-04-22 13:30:00.318
96d2b979-54aa-4c4b-bc3f-4710c232f643,money,1,0,0,0,0,2026-04-06 23:00:00.074626,2026-04-22 13:30:00.328
912e6b4f-90ba-432a-b469-936e0bbd5691,heavens,1,0,0,0,0,2026-04-06 23:00:00.077625,2026-04-22 13:30:00.338
763714b4-c657-4bbc-b68f-c6b01e3ec96d,womenshealthmatters,2,0,0,0,0,2026-04-07 23:30:00.037907,2026-04-08 09:00:00.298
b307df13-05e4-4b3c-942a-15e0fa4e8444,celebrate,1,0,0,0,0,2026-04-06 23:00:00.08265,2026-04-22 13:30:00.348
162109df-44d8-4bc8-a4d0-9152813e177a,healthyliving,2,0,0,0,0,2026-04-07 23:30:00.047242,2026-04-08 09:00:00.302
c2c6cc6c-7031-46d1-ab8c-1851815e315b,earth,1,0,0,0,0,2026-04-06 23:00:00.085607,2026-04-22 13:30:00.362
