id,mentionedUserId,mentionedByUserId,contentId,commentId,createdAt
321d2d54-2ba8-4769-9709-851463fe72ab,cf5db28a-577d-4c10-8fe2-8a3dee3dac89,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,ab89a7b8-378b-455c-8def-f08ec0726682,52e10321-bee0-4423-8663-65012f57874d,2026-04-16 15:25:45.708233
208c65c9-bec6-4c18-bb83-3822bddc474d,d547b079-a3e1-468b-ac19-af450e044f81,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,f737df53-c823-49e6-b54c-2819fecd3590,a003f680-0cc2-4d5c-8b43-f66b0ecf46cd,2026-04-16 15:32:13.315304
a3013185-41c0-4e76-8d89-25bbd7035357,4da7d792-e565-4edc-9fbd-8466ffb37e2a,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,f737df53-c823-49e6-b54c-2819fecd3590,f51b6984-9c42-4ae1-8032-20b52b14ad5a,2026-04-16 15:32:33.237763
d1c489aa-1c25-49fc-ab09-de1210bc0f35,d1ffb970-dc6c-4d1b-ac44-e14330e5feff,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,e502433f-f0ad-48d8-8336-6038122a8e62,4c1d02e4-572f-4006-ac1f-285a3283289d,2026-04-16 19:50:34.217488
433bc2b1-0231-4e22-8336-d1102ad103ea,8d86607e-4528-4ee7-9b27-984d4f1330da,914dcaa9-28e7-4c1d-810a-c026fb5bcbe2,2b776967-415b-42aa-a72c-ebffecaddb0d,1d56d8c1-cfae-4678-a24b-54745e0ad669,2026-04-17 08:57:47.300783
c288ce7e-f21f-4dc6-aebb-81139721357c,914dcaa9-28e7-4c1d-810a-c026fb5bcbe2,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,b0783d4d-a104-41e1-9bce-1565aab0a209,fb60f58b-58c7-4698-aef8-05fcda83766c,2026-04-17 09:35:34.040726
12de1d10-b85f-4548-a77d-69d3942b1ab6,4da7d792-e565-4edc-9fbd-8466ffb37e2a,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,c6a6caea-2d5a-44ba-b7ba-fe9c20fcaa42,3e4298d6-19e4-4f2d-8a34-4e05811e82c3,2026-04-17 17:45:03.264397
00735d02-ab90-41a6-87a4-18b0097d4ad1,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,d1ffb970-dc6c-4d1b-ac44-e14330e5feff,4fa83b28-090a-4d9c-bd46-341e9eaa4d5a,61e7f130-3d89-4668-8720-4ffc34e28493,2026-04-18 09:00:30.138646
6bbc7859-3a23-440f-9a6b-9817fedf88fa,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,d1ffb970-dc6c-4d1b-ac44-e14330e5feff,3a2bc522-be3e-4d25-b145-69cb0ad83e75,a97883f6-e590-4f29-88e9-d031e0a42dd2,2026-04-21 07:43:50.940665
053fbcdd-d05e-4608-ac67-3dfca0e9a085,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,d1ffb970-dc6c-4d1b-ac44-e14330e5feff,caaf82c1-118a-41ac-a888-6f15f272e4d7,218e27fc-798c-4faf-94ae-81045d5ac71d,2026-04-23 16:21:27.4644
